管理番号,管理名称,管理担当部課名,組織管理区分１名,利用者名,設置場所,設置場所詳細
19XA1T3175,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19XA1T3185,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19YA1T3176,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19YA1T3186,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
19ZA1T3177,安定化電源(800W),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
20HA0Z4465,ARTs-GAIA基盤,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
20HA472530,モバイルモニター #006,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
20PA472526,モバイルモニター #002,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
20TA472529,モバイルモニター #005,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,ドコモ管理,,,
21KA073351,WN101-EN101間光ケーブル配線工,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
22FA317022,検証用ＮＲソフトウェア＜Ｆ＞23,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
22GA3X3644,方式系５ＧＯＴＡ試験環境,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23HA0X9384,SWコントローラAPIライセンス_23,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23NA2G0853,WC201_UE-SIM_AS2_AC200V電源工,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23PA1J0072,eNB呼処理ログデコードツール(23,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23SA1J0084,Keysight製疑似呼用23Bライセン,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23TA059768,検証用ＮＲソフトウェア＜Ｆ＞23,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23TA1H9476,eNB(HD)23A_ｿﾌﾄｳｪｱ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23TA1S1358,VMware Standard 8 一式,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23TA255858,VIAVI社製UE-SIMソフトウェア一,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23TA295204,eNB23Bｿﾌﾄｳｪｱ,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23UA0H5537,検証用ＮＲソフトウェア＜Ｎ＞23,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
23WA1J0078,eNB試験シナリオ作成ツール(23A),無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24EA2A6660,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24FA1Y0540,1号館(N603)コンセント設置工事,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
24FA2A6661,対向_IPNF_IPv4v6混在ライセンス,無ｱﾃﾞ 無線ｼｽﾃﾑ技･無線ｼｽﾃﾑ技,,,,
